662279314,3.2,3.6,3.5,3.7,0
662279314,3.4,2.8,2.1,3.2,1
662279314,2.1,1.6,4.3,3.0,1
662279314,2.5,3.5,3.7,3.3,1
662279314,2.8,3.1,1.1,2.4,1
662279314,2.0,2.6,0.2,1.3,0
662279314,2.4,2.0,4.7,2.5,1
662279314,3.0,3.9,3.6,3.7,1
662279314,2.2,1.7,4.9,2.6,1
662279314,3.7,2.8,3.5,3.5,1
662279314,2.7,3.2,1.1,2.3,0
662279314,2.1,1.9,3.1,2.7,1
761983676,4.5,4.1,1.1,3.3,1
761983676,4.9,4.1,4.9,4.7,1
761983676,4.0,4.8,4.5,4.5,1
761983676,4.5,4.9,0.0,3.3,1
761983676,3.3,3.1,1.1,2.4,0
761983676,4.3,4.1,3.2,4.1,1
761983676,3.9,3.2,3.0,3.2,1
761983676,4.9,5.0,3.4,4.7,0
761983676,3.6,2.7,4.6,4.0,1
761983676,3.1,3.0,2.9,3.5,1
761983676,3.4,3.5,1.6,3.0,1
761983676,3.0,2.9,2.3,3.2,1
211711241,0.9,1.1,2.6,1.4,0
211711241,0.4,0.4,0.5,0.8,1
211711241,1.0,0.5,0.3,0.9,0
211711241,0.4,0.2,1.0,1.0,0
211711241,0.0,0.8,3.3,1.7,0
211711241,1.0,0.4,2.3,1.1,0
211711241,0.0,0.0,0.6,0.6,0
211711241,0.5,0.7,4.2,1.4,0
211711241,1.3,2.1,1.0,1.0,0
211711241,1.7,1.7,3.5,2.7,1
211711241,1.8,1.3,4.7,2.4,0
553157202,3.6,3.9,0.0,2.8,1
553157202,2.5,2.5,3.7,3.2,1
553157202,2.8,3.4,2.2,2.6,1
553157202,2.0,1.7,1.9,2.1,0
553157202,3.3,2.4,2.4,2.3,0
553157202,3.3,4.0,0.9,2.8,1
553157202,2.4,2.5,2.2,2.1,0
553157202,3.1,3.6,2.5,3.1,1
553157202,3.1,3.7,2.9,3.4,1
553157202,2.1,1.5,4.3,3.0,1
553157202,3.5,3.7,4.8,4.1,0
553157202,3.5,3.3,3.8,3.8,1
318740906,4.8,4.6,3.9,4.7,1
318740906,5.0,4.5,0.3,2.9,0
318740906,4.1,4.1,3.9,4.4,1
318740906,4.9,3.9,2.9,4.3,1
318740906,5.0,4.8,2.1,3.8,1
318740906,4.6,5.0,0.6,3.8,1
318740906,5.0,5.0,0.9,3.8,1
318740906,4.1,4.7,4.7,4.6,1
318740906,4.9,4.7,5.0,4.9,0
318740906,4.3,3.9,1.2,2.8,1
318740906,4.3,3.8,1.1,2.6,1
318740906,5.0,5.0,4.3,5.0,1
318740906,4.5,4.1,3.7,4.4,0
812059549,4.8,5.0,2.6,3.7,1
812059549,4.2,4.1,2.0,3.3,1
812059549,4.8,5.0,5.0,5.0,1
812059549,5.0,5.0,1.1,3.4,1
812059549,4.8,5.0,4.1,4.3,1
812059549,5.0,5.0,2.9,4.0,1
812059549,5.0,5.0,3.4,4.9,1
812059549,4.9,4.2,2.7,3.5,1
812059549,4.5,3.9,1.8,3.2,1
812059549,5.0,5.0,2.7,4.2,1
812059549,4.2,3.4,1.6,3.2,1
812059549,4.9,4.5,0.3,2.7,0
812059549,4.4,4.2,4.9,4.1,1
696786069,3.1,3.8,2.8,3.3,1
696786069,2.8,3.4,1.4,3.0,1
696786069,3.1,3.0,2.7,3.0,1
